service	prefix	action	access_level	table_link	action_docs_link	condition_keys	dependent_actions
Alexa for Business	a4b	ListSkillsStoreCategories	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ListSkillsStoreCategories.html		
Alexa for Business	a4b	ListSkillsStoreSkillsByCategory	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ListSkillsStoreSkillsByCategory.html		
Alexa for Business	a4b	ListSmartHomeAppliances	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ListSmartHomeAppliances.html		
Alexa for Business	a4b	ListTags	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ListTags.html		
Alexa for Business	a4b	PutConferencePreference	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_PutConferencePreference.html		
Alexa for Business	a4b	PutDeviceSetupEvents [permission only]	Write		https://docs.aws.amazon.com/a4b/latest/ag/manage-devices.html		
Alexa for Business	a4b	PutInvitationConfiguration	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_PutInvitationConfiguration.html		
Alexa for Business	a4b	PutRoomSkillParameter	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_PutRoomSkillParameter.html		
Alexa for Business	a4b	PutSkillAuthorization	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_PutSkillAuthorization.html		
Alexa for Business	a4b	RegisterAVSDevice	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_RegisterAVSDevice.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	RegisterDevice [permission only]	Write		https://docs.aws.amazon.com/a4b/latest/ag/manage-devices.html		
Alexa for Business	a4b	RejectSkill	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_RejectSkill.html		
Alexa for Business	a4b	ResolveRoom	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ResolveRoom.html		
Alexa for Business	a4b	RevokeInvitation	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_RevokeInvitation.html		
Alexa for Business	a4b	SearchAddressBooks	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchAddressBooks.html		
Alexa for Business	a4b	SearchContacts	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchContacts.html		
Alexa for Business	a4b	SearchDevices	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchDevices.html		
Alexa for Business	a4b	SearchNetworkProfiles	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchNetworkProfiles.html		
